image_name,intensity_b0,intensity_b1,edt_b0,edt_b1
G_maze_loopy_gaussian_0.10_bilateral_filter,13,30,13,1040
G_maze_loopy_gaussian_0.10_non_local_means,68,72,29,377
G_maze_loopy_gaussian_0.10_topological,68,72,29,377
G_maze_loopy_gaussian_0.10_morphological,68,72,29,377
G_maze_loopy_salt_pepper_0.01_median_filter,13,12,1,1
G_maze_loopy_salt_pepper_0.01_bilateral_filter,773,350,13,999
G_maze_loopy_salt_pepper_0.01_non_local_means,68,72,29,353
G_maze_loopy_salt_pepper_0.01_topological,68,72,29,353
G_maze_loopy_salt_pepper_0.01_morphological,68,72,29,353
G_maze_loopy_salt_pepper_0.03_median_filter,13,12,1,1
G_maze_loopy_salt_pepper_0.03_bilateral_filter,2217,1018,13,903
G_maze_loopy_salt_pepper_0.03_non_local_means,78,74,29,269
G_maze_loopy_salt_pepper_0.03_topological,78,74,29,269
G_maze_loopy_salt_pepper_0.03_morphological,78,74,29,269
G_maze_loopy_salt_pepper_0.05_median_filter,13,13,1,1
G_maze_loopy_salt_pepper_0.05_bilateral_filter,3354,1564,13,852
G_maze_loopy_salt_pepper_0.05_non_local_means,82,76,28,225
G_maze_loopy_salt_pepper_0.05_topological,82,76,28,225
G_maze_loopy_salt_pepper_0.05_morphological,82,76,28,225
G_maze_loopy_salt_pepper_0.08_median_filter,13,12,1,1
G_maze_loopy_salt_pepper_0.08_bilateral_filter,4987,2486,14,824
G_maze_loopy_salt_pepper_0.08_non_local_means,95,76,28,207
G_maze_loopy_salt_pepper_0.08_topological,95,76,28,207
G_maze_loopy_salt_pepper_0.08_morphological,95,76,28,207
G_maze_loopy_salt_pepper_0.10_median_filter,13,12,1,1
G_maze_loopy_salt_pepper_0.10_bilateral_filter,5915,2884,14,835
G_maze_loopy_salt_pepper_0.10_non_local_means,89,80,28,214
G_maze_loopy_salt_pepper_0.10_topological,89,80,28,214
G_maze_loopy_salt_pepper_0.10_morphological,89,80,28,214
H_swiss_cheese_clean,845,71,1,1
H_swiss_cheese_gaussian_0.01,845,71,1,1
H_swiss_cheese_gaussian_0.03,845,71,1,1
H_swiss_cheese_gaussian_0.05,845,71,46,1967
H_swiss_cheese_gaussian_0.08,845,71,46,1970
H_swiss_cheese_gaussian_0.10,845,71,48,1967
H_swiss_cheese_salt_pepper_0.01,1313,403,1,1
H_swiss_cheese_salt_pepper_0.03,2171,998,1,1
H_swiss_cheese_salt_pepper_0.05,2955,1598,1,1
H_swiss_cheese_salt_pepper_0.08,3912,2481,1,1
H_swiss_cheese_salt_pepper_0.10,4478,3030,1,1
H_swiss_cheese_gaussian_0.01_median_filter,412,82,1,1
H_swiss_cheese_gaussian_0.01_bilateral_filter,845,71,46,1968
H_swiss_cheese_gaussian_0.01_non_local_means,460,381,45,385
H_swiss_cheese_gaussian_0.01_topological,460,381,45,385
H_swiss_cheese_gaussian_0.01_morphological,460,381,45,385
H_swiss_cheese_gaussian_0.03_median_filter,412,82,1,1
H_swiss_cheese_gaussian_0.03_bilateral_filter,845,71,46,1968
H_swiss_cheese_gaussian_0.03_non_local_means,461,382,45,390
H_swiss_cheese_gaussian_0.03_topological,461,382,45,390
H_swiss_cheese_gaussian_0.03_morphological,461,382,45,390
H_swiss_cheese_gaussian_0.05_median_filter,412,82,1,1
H_swiss_cheese_gaussian_0.05_bilateral_filter,845,71,46,1968
H_swiss_cheese_gaussian_0.05_non_local_means,462,383,45,391
H_swiss_cheese_gaussian_0.05_topological,462,383,45,391
H_swiss_cheese_gaussian_0.05_morphological,462,383,45,391
H_swiss_cheese_gaussian_0.08_median_filter,412,82,36,2114
H_swiss_cheese_gaussian_0.08_bilateral_filter,845,71,46,1968
H_swiss_cheese_gaussian_0.08_non_local_means,462,381,45,387
H_swiss_cheese_gaussian_0.08_topological,462,381,45,387
H_swiss_cheese_gaussian_0.08_morphological,462,381,45,387
H_swiss_cheese_gaussian_0.10_median_filter,412,82,37,2109
H_swiss_cheese_gaussian_0.10_bilateral_filter,845,71,46,1968
H_swiss_cheese_gaussian_0.10_non_local_means,462,384,46,389
